bloco,nurse,target,tempo,altura_rii,folhas_rii,folhas_imp,altura_imp
113,algodao,angico,1,0.037037037,0,0,0.042553191
113,algodao,angico,2,0.056603774,0.090909091,0.076923077,0.0625
113,algodao,angico,3,0.038461538,0,0,0.040816327
113,algodao,angico,4,0.018181818,0.111111111,0.125,0.022222222
113,algodao,angico,6,0.056603774,0.5,0.285714286,0.065217391
113,algodao,angico,7,0.037037037,0,0,0.044444444
113,algodao,angico,8,0,0,0,0
113,algodao,angico,9,0.365853659,0,0,0.205479452
113,algodao,aroeira,1,0.157894737,0.111111111,0.133333333,0.444444444
113,algodao,aroeira,2,0.178082192,0.111111111,0.095238095,0.433333333
113,algodao,aroeira,3,0.173333333,0.333333333,0.119047619,0.433333333
113,algodao,aroeira,4,0.215189873,0.076923077,0.166666667,0.5
113,algodao,aroeira,6,0.173333333,0.333333333,0.125,0.448275862
113,algodao,aroeira,7,0.173333333,0,0,0.448275862
113,algodao,aroeira,8,1,1,0.1,0.472527473
113,algodao,aroeira,9,0,0,0,0
113,algodao,cating,1,0.037037037,0,0,0.042553191
113,algodao,cating,2,0.056603774,0.090909091,0.076923077,0.0625
113,algodao,cating,3,0.038461538,0,0,0.040816327
113,algodao,cating,4,0.018181818,0.111111111,0.125,0.022222222
113,algodao,cating,6,0.056603774,0.5,0.285714286,0.065217391
113,algodao,cating,7,0.037037037,0,0,0.044444444
113,algodao,cating,8,0,0,0,0
113,algodao,cating,9,0.365853659,0,0,0.205479452
122,algodao,angico,1,0.058823529,-0.25,-0.181818182,0.06
122,algodao,angico,2,-0.021276596,-0.25,-0.142857143,-0.021276596
122,algodao,angico,3,-0.066666667,-0.25,-0.2,-0.058823529
122,algodao,angico,4,-0.021276596,-0.25,-0.25,-0.020833333
122,algodao,angico,6,-0.043478261,-0.142857143,-0.333333333,-0.043478261
122,algodao,angico,7,-0.066666667,0.2,0.05,-0.0625
122,algodao,angico,8,-0.021276596,0.2,0.333333333,-0.021276596
122,algodao,angico,9,0.365853659,0,0,0.205479452
122,algodao,aroeira,1,0.138461538,-0.047619048,-0.090909091,0.321428571
122,algodao,aroeira,2,0.174603175,0.047619048,0.055555556,0.34375
122,algodao,aroeira,3,0.129032258,0.1,0.057142857,0.275862069
122,algodao,aroeira,4,0.111111111,0.111111111,0.4,0.259259259
122,algodao,aroeira,6,0.104477612,-0.333333333,-0.142857143,0.291666667
122,algodao,aroeira,7,0.142857143,-0.333333333,-0.166666667,0.310344828
122,algodao,aroeira,8,0.090909091,-0.666666667,-0.5,0.25
122,algodao,aroeira,9,0,0,0,0
122,algodao,cating,1,0.058823529,-0.25,-0.181818182,0.06
122,algodao,cating,2,-0.021276596,-0.25,-0.142857143,-0.021276596
122,algodao,cating,3,-0.066666667,-0.25,-0.2,-0.058823529
122,algodao,cating,4,-0.021276596,-0.25,-0.25,-0.020833333
122,algodao,cating,6,-0.043478261,-0.142857143,-0.333333333,-0.043478261
122,algodao,cating,7,-0.066666667,0.2,0.05,-0.0625
122,algodao,cating,8,-0.021276596,0.2,0.333333333,-0.021276596
122,algodao,cating,9,0.365853659,0,0,0.205479452
123,algodao,angico,1,0.130434783,0.111111111,0.090909091,0.105263158
123,algodao,angico,2,0.043478261,0,0,0.04
123,algodao,angico,3,0.020408163,0.142857143,0.090909091,0.020408163
123,algodao,angico,4,0,0.25,0.2,0
123,algodao,angico,6,0.045454545,0,0,0.040816327
123,algodao,angico,7,0.022222222,0,0,0.020833333
123,algodao,angico,8,-0.022222222,0,0,-0.020833333
123,algodao,angico,9,-0.022222222,0,0,-0.020408163
123,algodao,aroeira,1,-0.060606061,0.052631579,0.076923077,-0.25
