ID,Espnurse,target,NHP,NFP,HP,FP
38,angico,angico,36,8,27,10
38,angico,cating,19,2,31,3
38,angico,aroeira,23,5,31,9
111,angico,angico,57,17,16,5
111,angico,cating,22,2,49,5
111,angico,aroeira,22,14,36,10
58,angico,angico,48,9,52,29
58,angico,cating,33,2,34,3
58,angico,aroeira,40,12,39,9
85,angico,angico,44,5,21,4
85,angico,cating,37,4,13,4
85,angico,aroeira,34,9,33,12
144,angico,angico,35,4,30,11
144,angico,cating,27,5,19,2
144,angico,aroeira,36,11,31,19
113,algodao,angico,24,8,61,17
113,algodao,cating,27,4,25,2
113,algodao,aroeira,43,9,31,7
123,algodao,angico,40,8,28,9
123,algodao,cating,26,2,23,4
123,algodao,aroeira,36,11,27,8
122,algodao,angico,33,7,32,7
122,algodao,cating,25,3,19,2
122,algodao,aroeira,30,11,34,8
156,algodao,angico,28,9,30,8
156,algodao,cating,28,2,15,2
156,algodao,aroeira,28,10,31,9
157,algodao,angico,38,7,20,8
157,algodao,cating,20,3,28,2
157,algodao,aroeira,36,9,35,9
41,burra,angico,41,13,24,7
41,burra,cating,31,5,32,1
41,burra,aroeira,32,10,30,11
102,burra,angico,53,28,33,8
102,burra,cating,34,2,35,4
102,burra,aroeira,40,10,23,6
81,burra,angico,22,9,30,13
81,burra,cating,20,3,16,5
81,burra,aroeira,35,9,29,10
88,burra,angico,36,6,22,4
88,burra,cating,29,5,15,2
88,burra,aroeira,35,11,38,9
128,burra,angico,43,11,37,5
128,burra,cating,27,4,20,3
128,burra,aroeira,38,11,33,11
30,catanduva,angico,18,5,33,13
30,catanduva,cating,26,2,25,3
30,catanduva,aroeira,43,10,40,15
43,catanduva,angico,29,7,21,2
43,catanduva,cating,13,3,29,3
43,catanduva,aroeira,46,11,25,15
108,catanduva,angico,30,8,22,9
108,catanduva,cating,26,4,21,2
108,catanduva,aroeira,31,10,33,11
65,catanduva,angico,31,3,32,13
65,catanduva,cating,30,4,18,3
65,catanduva,aroeira,43,8,34,9
131,catanduva,angico,28,14,25,8
131,catanduva,cating,20,1,20,2
131,catanduva,aroeira,32,11,38,9
21,catingueira,angico,45,18,32,6
21,catingueira,cating,26,2,32,7
21,catingueira,aroeira,40,11,29,8
35,catingueira,angico,24,6,15,6
35,catingueira,cating,36,4,45,6
35,catingueira,aroeira,26,12,41,9
