especie,n,ID,area,das_m,H_arvore_m,H_copa _m,Diam_copaN_m,Diam_copaL_m,diam_medio
algodao,1,113,3,0.6,7,5,3.7,5.9,4.8
algodao,2,123,4,0.6,5,3,3.4,2.6,3
algodao,3,122,3,0.6,5.5,3.5,2.5,3.5,3
algodao,4,156,3,0.47,7,5,5.4,4.6,5
algodao,5,157,3,0.4,6,4,4.5,4.2,4.35
angico,1,38,1,0.54,6,3,6.6,6.7,6.65
angico,2,111,1,0.32,3.4,1.7,2.5,2.8,2.65
angico,3,58,2,0.24,4,2,3.2,3.5,3.35
angico,4,85,2,0.65,7.5,5,8.2,7.8,8
angico,5,144,4,1.18,10,9,12.6,11.4,12
burra,1,41,1,0.26,4.5,3,2.9,4.1,3.5
burra,2,102,1,0.4,4,3.5,3.7,3.4,3.55
burra,3,81,2,0.3,3,2,4.5,4,4.25
burra,4,88,2,0.19,3,2,1.8,2.2,2
burra,5,128,3,0.46,5,4,4.2,3.6,3.9
catanduva,1,30,1,1.16,13,10,6.94,5.6,6.27
catanduva,2,43,1,0.26,4,2.5,3.1,3.3,3.2
catanduva,3,108,1,0.57,7.5,6,4.8,5.3,5.05
catanduva,4,65,2,0.3,4.5,4,5.2,3.3,4.25
catanduva,5,131,3,1.02,9,8,6.6,8.5,7.55
catingueira,1,21,1,0.45,4,2,5.5,5,5.25
catingueira,2,35,1,0.27,2.5,1.1,4.4,4.9,4.65
catingueira,3,64,2,0.3,4.5,3.5,4.7,5.5,5.1
catingueira,4,95,2,0.66,6.5,4.5,8,7.5,7.75
catingueira,5,127,3,0.72,4,3,6,5.3,5.65
cumaru,1,97,1,0.76,5.2,3,8.4,7.8,8.1
cumaru,2,149,1,0.56,4.5,3,5.2,5.6,5.4
cumaru,3,100,1,0.63,5,3.5,6.3,6.8,6.55
cumaru,4,53,1,1.12,11,8.5,11.6,10.7,11.15
cumaru,5,23,1,0.98,6.5,5,10,9.5,9.75
favelinha,1,138,3,0,2.5,2.5,1.9,1.81,1.855
favelinha,2,124,3,0.73,3.5,3,3.3,3.17,3.235
favelinha,3,153,3,0.23,4.5,2,1.9,2,1.95
favelinha,4,154,3,0.27,5.5,4,0.8,0.68,0.74
favelinha,5,155,3,0.2,6.5,2,1.6,1.4,1.5
feijao,1,24,1,0.59,4,2,4.8,3.8,4.3
feijao,2,67,2,0.5,4.5,2,4.5,4.1,4.3
feijao,3,75,2,0.33,3,2,2.5,2.2,2.35
feijao,4,80,2,0.52,8,6,5.9,7,6.45
feijao,5,134,3,0.44,3.5,1.5,4.5,3.8,4.15
imbiratanha,1,27,1,0.8,7.5,5.5,6.5,4.4,5.45
imbiratanha,2,150,1,0.59,4.5,2,3,2.9,2.95
imbiratanha,3,73,2,0.5,4.5,2.5,2.9,2.1,2.5
imbiratanha,4,78,2,0.72,6,4,3.7,4.2,3.95
imbiratanha,5,160,4,0.47,6,2,2.2,2.7,2.45
imburana,1,57,2,0.4,3.5,2,1.9,3.1,2.5
imburana,2,151,1,0.5,4,3,4.7,3.7,4.2
imburana,3,74,2,0.55,5,4,5.5,6.6,6.05
imburana,4,76,2,1.12,7.5,5,6.5,4.1,5.3
imburana,5,159,3,0.44,2.2,1,2.9,3.8,3.35
ipe,1,34,1,0.55,6,5.5,5.6,6.4,6
ipe,2,112,1,0.37,5,4,3,3.6,3.3
ipe,3,55,2,0.6,5.5,3.5,6.5,6.5,6.5
ipe,4,132,3,0.6,6,6,6.4,6.7,6.55
ipe,5,118,3,0.44,4.5,4.5,4.4,5.6,5
jubranca,1,46,1,0.41,6,4,3.5,3,3.25
jubranca,2,19,2,0.36,6,4.5,4.6,5,4.8
jubranca,3,56,2,0.54,5.5,4.5,8.5,7.7,8.1
jubranca,4,70,2,0.3,5,4,7.9,5.9,6.9
jubranca,5,68,2,0.44,7.5,6,5.5,5.3,5.4
juca,1,130,3,2.6,4.5,4.5,7.5,8.2,7.85
juca,2,136,3,1.34,4.6,3.1,9.4,8.5,8.95
juca,3,139,4,2,5.5,3.5,7.9,5.4,6.65
juca,4,145,4,0.6,4.5,2.5,6.3,6,6.15
juca,5,148,S,1.33,4,3.5,7.7,9.4,8.55
jupreta,1,22,1,0.66,6,4.5,6,7.8,6.9
jupreta,2,98,1,0.65,6,2.5,5.7,5.2,5.45
jupreta,3,20,2,0.69,5.5,3.5,6.5,6.3,6.4
jupreta,4,126,3,0.84,5,1.5,5.4,6.1,5.75
jupreta,5,125,3,0.7,4,2,7.5,6,6.75
marmeleiro,1,25,1,0.28,4,3,3.7,3.4,3.55
marmeleiro,2,48,1,0.3,3,2,3,3.4,3.2
marmeleiro,3,51,1,0.22,3.5,3,2.5,1.9,2.2
marmeleiro,4,61,2,0.16,"2,5",2,2.3,2.8,2.55
marmeleiro,5,72,2,0.33,3.5,2.5,3.1,3.2,3.15
mofumbo,1,62,2,0.25,3.5,2.5,3.5,3.8,3.65
mofumbo,2,71,2,0.2,3.5,2,5,3.4,4.2
mofumbo,3,60,2,0.29,2,1,2.5,2.3,2.4
mofumbo,4,137,3,0.48,2.5,2.5,3,2.5,2.75
mofumbo,5,119,3,0,5,4,3,4.2,3.6
mororo,1,69,2,0.18,3.5,2.5,6.4,4.6,5.5
mororo,2,79,2,0.23,5.5,3.5,2.8,2.6,2.7
mororo,3,84,2,0.2,5,3,5.7,6,5.85
mororo,4,152,3,0.19,1.9,1,3.9,4,3.95
mororo,5,95,3,0.15,3.5,2,2.5,3,2.75
paubranco,1,52,1,0.4,6,4,3.3,3.5,3.4
paubranco,2,28,1,0.46,6.5,5,3.3,2.7,3
paubranco,3,110,1,0.35,4.5,3.5,2.4,2.4,2.4
paubranco,4,33,2,0.65,7.5,6.5,5.4,4.6,5
paubranco,5,146,4,0.32,5.5,4,2.3,2.6,2.45
pereiro,1,101,1,0.73,7.5,5.5,5.5,6.7,6.1
pereiro,2,82,2,0.45,9.5,7,11,10,10.5
pereiro,3,66,2,0.29,3.5,1.5,3,3.3,3.15
pereiro,4,129,3,0.8,8,7,4.4,4.4,4.4
pereiro,5,147,4,0.014,5,3.5,9.5,6.7,8.1
umbu,1,32,2,1.36,"7,5","6,5",18,19,18.5
umbu,2,115,3,0.02,6.5,6.5,14.5,15.4,14.95
umbu,3,158,3,0.0124,4.5,4,11.9,12,11.95
umbu,4,141,4,0.019,8,7,17.7,13.1,15.4
umbu,5,143,4,0.017,9,8,12,17.8,14.9
