ID,especie,diam_madeira_mm,vol_mad,peso_seco_madeira,peso_fresco_mad,peso_sat_mad,diam_casca,diam2_casca,vol_casca,peso_seco_casca,peso_fresco_casca,peso_sat_casca
113,algodao,14.8,5.3,1.73,3.9,4.38,2.4,1.9,1.8,0.63,2,2.3
156,algodao,22.6,6.4,1.74,3.7,4.91,2.5,1.5,1.4,0.6,1.4,1.8
157,algodao,16.7,4.9,2.25,4.1,4.83,2.4,2.7,0.8,0.28,0.8,0.99
111,angico,19.3,4.8,3.3,4.4,5.5,1.2,0.6,0.4,0.29,0.49,0.65
58,angico,19,4.19,3.65,4.79,5.44,1,0.7,0.77,0.54,0.94,1.16
144,angico,19,5.79,4.95,6.75,7.42,1.5,2,0.6,0.49,0.78,0.98
102,burra,19.7,10.32,7.73,10.79,11.2,0.8,0.7,0.16,0.1,0.2,0.32
88,burra,14.5,3.1,2.35,3.2,3.45,0.3,0.3,0.3,0.21,0.39,0.76
128,burra,17.6,6.67,5.13,6.94,7.15,1,0.7,1.02,0.71,1.21,1.91
43,catanduva,17.7,5.71,4.16,5.64,6.33,1.2,0.7,0.17,0.12,0.24,0.33
108,catanduva,15.8,4.24,3.15,4.29,4.67,0.4,0.5,0.27,0.11,0.29,0.39
131,catanduva,25.8,11.1,9.28,12.42,12.96,1.5,1.3,0.79,0.51,0.93,1.13
21,catingueira,24.8,19.34,15.97,22.08,22.26,0.3,0.7,0.26,0.18,0.33,0.41
35,catingueira,19.7,12.17,10.96,14.82,14.97,0.3,0.3,0.25,0.2,0.35,0.45
95,catingueira,32.6,14.65,13.37,18.02,18.66,0.3,0.4,0.13,0.11,0.2,0.25
97,cumaru,32.4,20.67,13.05,21.96,23.33,1.4,1.9,0.6,0.38,0.71,0.79
149,cumaru,30.5,15.55,9.6,16.24,17.65,1.9,1.5,0.34,0.26,0.43,0.47
53,cumaru,41.7,41,23.7,42.31,45.78,2.6,2.1,0.62,0.38,0.74,0.9
155,favelinha,14.5,2.79,2.36,3.21,3.37,0.3,0.6,0.17,0.14,0.2,0.28
124,favelinha,15.5,4.52,3.8,5.18,5.32,0.6,0.6,0.28,0.19,0.33,0.48
154,favelinha,11.7,3.42,2.91,4.06,4.28,0.3,0.6,0.13,0.11,0.12,0.23
24,feijao,24.8,11.83,8.75,13.46,14.11,1.5,2,0.75,0.41,0.86,1.02
75,feijao,18.1,8.1,5.8,9.45,9.89,1.2,1.2,0.69,0.31,0.75,0.82
134,feijao,19.2,7.2,5.54,8.57,8.71,1.5,0.6,0.62,0.34,0.68,0.79
27,imbiratanha,27.8,15.2,4.75,12.46,13.84,4.8,5.2,1.99,0.65,2.1,2.28
73,imbiratanha,22.6,6.12,1.95,4.59,5.5,3.4,3.9,1.47,0.78,1.54,1.8
